RUT,Nombre de la Sociedad,Código SAP,RUT dueño,Nombre Dueño,Clasificación de Dueño,Unidad de Negocio de la sociedad,Asociada,Contabilidad,Gerente General,Moneda Funcional,Giro,Dirección,País,Fecha de Constitución,Acciones Emitidas,Acciones Invertidas,RUT Matriz,Porcentaje,Clasificacion de Matriz,Empresa
(Extranjera),Inmobiliaria y Constructora Litoral SAC,1236,,,,ICSA,NO,Interna,N/A,PEN$,Sin Información,Sin Información,Perú,,N/A ,N/A ,99.585.130-K,"0,0001",Minoritario,Tecsa Internacional S.A.
(Extranjera),Intercoastal Marine inc (Panamá),S/N,,,,Asociaciones ICSA,SI,Revisar,Sin información,US$,Sin Información,Sin Información,Panamá,,N/A ,N/A ,(Extranjera),100,Mayoritario,Consalfa S.A.S.
(Extranjera),Salfa Construcciones Trasandinas S.A.,1106,,,,ICSA,NO,Interna,Juan Carlos Jara Infante,ARG$,Sin Información,Sin Información,Argentina,,N/A ,N/A ,77.493.650-5,90,Mayoritario,Salfa Internacional Ltda.
(Extranjera),Salfa Construcciones Trasandinas S.A.,1106,,,,ICSA,NO,Interna,Rodrigo Hubner Grasso,ARG$,Sin Información,Sin Información,Argentina,,N/A ,N/A ,99.563.590-9,10,Minoritario,Salfa Ingeniería y Construcción S.A.
(Extranjera),Salfa Overseas Inc.,1091,,,,ICSA,NO,Interna,Juan Carlos Jara Infante,CL$,Sin Información,Sin Información,Chile,,N/A ,N/A ,77.493.650-5,"99,99",Mayoritario,Salfa Internacional Ltda.
(Extranjera),Salfa Overseas Inc.,1091,,,,ICSA,NO,Interna,Juan Manuel Irarrázaval Mena,US$,Sin Información,Sin Información,EEUU,,N/A ,N/A ,Externo,"0,01",Minoritario,(Externo)
(Extranjera),Salfa Perú S.A.,1101,,,,ICSA,NO,Interna,Juan Carlos Jara Infante,PEN$,Sin Información,Sin Información,Perú,,N/A ,N/A ,77.493.650-5,"99,9964",Mayoritario,Salfa Internacional Ltda.
(Extranjera),Salfa Perú S.A.,1101,,,,ICSA,NO,Interna,Rodrigo Hubner Grasso,PEN$,Sin Información,Sin Información,Perú,,N/A ,N/A ,99.563.590-9,"0,0036",Minoritario,Salfa Ingeniería y Construcción S.A.
(Extranjera),SC Asia Trade,1295,,,,ICSA,NO,Interna,Alfonso Mancilla Avendaño,¥,Sin Información,Sin Información,China,,N/A ,N/A ,96.954.630-2,100,Mayoritario,SalfaCorp Comercial S.A.
(Extranjera),Tecsa Perú S.A.,1234,,,,ICSA,NO,Interna,Juan Carlos Jara Infante,PEN$,Sin Información,Sin Información,Perú,,N/A ,N/A ,91.300.000-5,"99,97",Mayoritario,Empresa Constructora Tecsa S.A.
(Extranjera),Tecsa Perú S.A.,1234,,,,ICSA,NO,Interna,N/A,PEN$,Sin Información,Sin Información,Perú,,N/A ,N/A ,99.585.130-K,"0,03",Minoritario,Tecsa Internacional S.A.
(Extranjera),Tecsa Uruguay S.A.,,,,,ICSA,NO,Revisar,N/A,URG$,Sin Información,Sin Información,Uruguay,,N/A ,N/A ,99.585.130-K,100,Mayoritario,Tecsa Internacional S.A.
76.013.437-6,Inmobiliaria Bisal Ltda.,1133,,,,Asociaciones ICSA,SI,Externa,N/A,CL$,"Compra, Venta y Alquiler (Excepto Amoblados) de Inmuebles",0,Chile,,,,96.610.790-1,50,Mayoritario,Inmobiliaria Salfa Austral Limitada
76.013.437-6,Inmobiliaria Bisal Ltda.,1133,,,,Asociaciones ICSA,SI,Externa,Juan Manuel Irarrázaval Mena,CL$,"Compra, Venta y Alquiler (Excepto Amoblados) de Inmuebles",0,Chile,,,,Externo,50,Minoritario,(Externo)
76.016.793-2,Tecsa Comin S.A.,1198,,,,Asociaciones ICSA,SI,Interna,Juan Carlos Jara Infante,CL$,Construcción Obras Ingeniería,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,,,,91.300.000-5,50,Mayoritario,Empresa Constructora Tecsa S.A.
76.016.793-2,Tecsa Comin S.A.,1198,,,,Asociaciones ICSA,SI,Interna,N/A,CL$,Construcción Obras Ingeniería,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,,,,99518420-6,50,Minoritario,Proyectos y Montajes Comin S.A.
76.020.802-7,Administradora de Fondos de Inversión GH S.A.,1132,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,Inmobiliaria y Administración de Fondos de Inversión Privados,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,22-08-2008,N/A ,N/A ,77085680-9,50,Minoritario,Inversiones y Asesorias H Y C S.A.
76.020.802-7,Administradora de Fondos de Inversión GH S.A.,1132,,,,Asociaciones Aconcagua,SI,Interna,N/A,CL$,Inmobiliaria y Administración de Fondos de Inversión Privados,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,22-08-2008,N/A ,N/A ,96.823.220-7,50,Mayoritario,Inmobiliaria Geosal S.A.
76.027.704-5,Inmobiliaria Jardines de Cerrillos S.A.,1137,,,,Asociaciones Aconcagua,SI,Interna,N/A,CL$,Inversiones Inmobiliarias Arrendamiento y Administración,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,25-06-2008,N/A ,N/A ,96.823.220-7,50,Mayoritario,Inmobiliaria Geosal S.A.
76.027.704-5,Inmobiliaria Jardines de Cerrillos S.A.,1137,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,Inversiones Inmobiliarias Arrendamiento y Administración,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,25-06-2008,N/A ,N/A ,99012000-5,50,Minoritario,Consorcio Nac. de Seguros S.A.
76.030.734-3,Servicio de Ingeniería Novaing Ltda.,1136,,,,Aconcagua,NO,Interna,Matías Stamm Moreno,CL$,Asesoramiento Empresarial en Materia de Gestión,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,,N/A ,N/A ,76.127.578-K,99,Mayoritario,Novatec S.A.
76.030.734-3,Servicio de Ingeniería Novaing Ltda.,1136,,,,Aconcagua,NO,Interna,Cristóbal Bascuñan Illanes,CL$,Asesoramiento Empresarial en Materia de Gestión,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,,N/A ,N/A ,99.506.950-4,1,Minoritario,Salfa Gestión S.A.
76.033.830-3,Empresas Tecsa S.A.,1159,,,,ICSA,NO,Interna,Rodrigo Hubner Grasso,CL$,Inv/Bienes Raíces Mueb/Inmueb-Val Mob-Serv de Asit Ger Admn F Cont De,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,,,,76.730.450-1,1,Minoritario,Salfa Gestión Ingeniería S.A.
76.033.830-3,Empresas Tecsa S.A.,1159,,,,ICSA,NO,Interna,Rodrigo Hubner Grasso,CL$,Inv/Bienes Raíces Mueb/Inmueb-Val Mob-Serv de Asit Ger Admn F Cont De,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,,,,99.563.590-9,99,Mayoritario,Salfa Ingeniería y Construcción S.A.
76.036.448-7,Fondo de Inv. Priv. BTG Pactual Geosal I,1093,,,,Asociaciones Aconcagua,SI,Interna,N/A,CL$,Fondo de Inversión Privado,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,,N/A ,N/A ,76036447-9,50,Minoritario,Fondo de Inversión Privado
76.036.448-7,Fondo de Inv. Priv. BTG Pactual Geosal I,1093,,,,Asociaciones Aconcagua,SI,Interna,N/A,CL$,Fondo de Inversión Privado,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,,N/A ,N/A ,96.823.220-7,50,Mayoritario,Inmobiliaria Geosal S.A.
76.037.836-4,Inmobiliaria Mantagua S.A.,1141,,,,Aconcagua,NO,Interna,Matías Stamm Moreno,CL$,Inversiones Inmobiliarias-Arrdo Administración Bs Inmuebles,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,21-08-2008,N/A ,N/A ,77.558.130-1,"0,0001",Minoritario,Aconcagua Gestión Inmobiliaria S.A.
76.037.836-4,Inmobiliaria Mantagua S.A.,1141,,,,Aconcagua,NO,Interna,Matías Stamm Moreno,CL$,Inversiones Inmobiliarias-Arrdo Administración Bs Inmuebles,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,21-08-2008,N/A ,N/A ,96.584.230-6,"99,9999",Mayoritario,Inmobiliaria Monte Aconcagua S.A.
76.051.944-8,Tecsa Con-Pax S.A.,1201,,,,ICSA,NO,Interna,Rodrigo Hubner Grasso,CL$,Sociedad Inversión y Arriendo de Inmuebles,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,,,,99.563.590-9,100,Mayoritario,Salfa Ingeniería y Construcción S.A.
76.053.696-2,Constructora Noval Limitada,1143,,,,Aconcagua,NO,Interna,Matías Stamm Moreno,CL$,"Construcción de Viviendas Sociales, Obras de Ing y Ases en Gestión","Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,26-03-2009,N/A ,N/A ,76.121.363-6,99,Mayoritario,Aconcagua S.A.
76.053.696-2,Constructora Noval Limitada,1143,,,,Aconcagua,NO,Interna,Cristóbal Bascuñan Illanes,CL$,"Construcción de Viviendas Sociales, Obras de Ing y Ases en Gestión","Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,26-03-2009,N/A ,N/A ,99.506.950-4,1,Minoritario,Salfa Gestión S.A.
76.065.788-3,Servicios de Capacitación ICSA Ltda.,1145,,,,ICSA,NO,Interna,Edilio Dagnino Macari,CL$,Servicios de Capacitación,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,24-06-2000,,,96.684.600-3,99,Mayoritario,Empresa de Montajes Industriales Salfa Sociedad Anónima
76.065.788-3,Servicios de Capacitación ICSA Ltda.,1145,,,,ICSA,NO,Interna,Rodrigo Hubner Grasso,CL$,Servicios de Capacitación,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,24-06-2000,,,99.563.590-9,1,Minoritario,Salfa Ingeniería y Construcción S.A.
76.089.641-1,Inmobiliaria Lagunas del Mar S.A.,1149,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,"Desarrollo de Proyecto Inmobiliario, Comp/Vta, Enajenar, Bs Inmuebles","Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,29-10-2009,N/A ,N/A ,78266520-0,50,Minoritario,Inmobiliaria La Cruz del Molino S.A.
76.089.641-1,Inmobiliaria Lagunas del Mar S.A.,1149,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,"Desarrollo de Proyecto Inmobiliario, Comp/Vta, Enajenar, Bs Inmuebles","Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,29-10-2009,N/A ,N/A ,96.584.230-6,50,Mayoritario,Inmobiliaria Monte Aconcagua S.A.
76.097.473-0,FIP Plaza Nueva Costanera,1333,,,,Asociaciones Aconcagua,SI,Revisar,Matías Stamm Moreno,CL$,0,0,Chile,,N/A ,N/A ,76.173.057-6,33,Minoritario,Inmobiliaria Vertical S.A.
76.097.473-0,FIP Plaza Nueva Costanera,1333,,,,Asociaciones Aconcagua,SI,Revisar,Juan Manuel Irarrázaval Mena,CL$,0,0,Chile,,N/A ,N/A ,Externo,67,Mayoritario,(Externo)
76.110.556-6,Minera y Construcción CEI S.A.,1315,,,,Asociaciones ICSA,SI,Externa,Juan Manuel Irarrázaval Mena,CL$,Construcción de Carreteras y Líneas de Ferrocarril,0,Chile,,,,79.723.890-2,"33,3333",Minoritario,Icem S.A.
76.110.556-6,Minera y Construcción CEI S.A.,1315,,,,Asociaciones ICSA,SI,Externa,Juan Manuel Irarrázaval Mena,CL$,Construcción de Carreteras y Líneas de Ferrocarril,0,Chile,,,,Externo,"66,6667",Mayoritario,(Externo)
76.117.016-3,Inmobiliaria Lagunas de Ayres de Chicureo S.A.,1217,,,,Aconcagua,NO,Interna,Matías Stamm Moreno,CL$,Inmobiliaria e Inversiones,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,,N/A ,N/A ,77.558.130-1,"0,05",Minoritario,Aconcagua Gestión Inmobiliaria S.A.
76.117.016-3,Inmobiliaria Lagunas de Ayres de Chicureo S.A.,1217,,,,Aconcagua,NO,Interna,Matías Stamm Moreno,CL$,Inmobiliaria e Inversiones,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,,N/A ,N/A ,96.584.230-6,"99,95",Mayoritario,Inmobiliaria Monte Aconcagua S.A.
76.121.363-6,Aconcagua S.A.,1154,,,,Corp,NO,Interna,Guillermo Salinas Errázuriz,CL$,Soc de Inversiones y Rentista de Capitales Mobiliarios en General,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,,,,96.885.880-7,"99,99",Mayoritario,SalfaCorp S.A.
76.121.363-6,Aconcagua S.A.,1154,,,,Corp,NO,Interna,Cristóbal Bascuñan Illanes,CL$,Soc de Inversiones y Rentista de Capitales Mobiliarios en General,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,,,,99.506.950-4,"0,01",Minoritario,Salfa Gestión S.A.
76.125.692-0,Inmobiliaria Desarrollo SpA,1156,,,,Aconcagua,NO,Interna,Matías Stamm Moreno,CL$,Compra Vta de Inmuebles y su Const,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,01-12-2010,N/A ,N/A ,96.584.230-6,100,Mayoritario,Inmobiliaria Monte Aconcagua S.A.
76.127.578-K,Novatec S.A.,1155,,,,Aconcagua,NO,Interna,Matías Stamm Moreno,CL$,Soc de Inv,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,,N/A ,N/A ,96.973.290-4,"99,9999",Mayoritario,Inmobiliaria Aconcagua S.A.
76.127.578-K,Novatec S.A.,1155,,,,Aconcagua,NO,Interna,Cristóbal Bascuñan Illanes,CL$,Soc de Inv,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,,N/A ,N/A ,99.506.950-4,"0,0001",Minoritario,Salfa Gestión S.A.
76.135.284-9,Consorcio Constructor Hospital de Talca S.A.,1316,,,,Asociaciones ICSA,SI,Revisar,Guillermo Salinas Errázuriz,CL$,Construcción de Carreteras y Líneas de Ferrocarril,0,Chile,,,,93.659.000-4,"33,3333",Minoritario,Constructora Salfa S.A.
76.135.284-9,Consorcio Constructor Hospital de Talca S.A.,1316,,,,Revisar,Revisar,Revisar,Juan Manuel Irarrázaval Mena,CL$,Construcción de Carreteras y Líneas de Ferrocarril,0,Chile,,,,Externo,FALTAN %,,Besalco (Externo)
76.135.284-9,Consorcio Constructor Hospital de Talca S.A.,1316,,,,Revisar,SI,Externa,Juan Manuel Irarrázaval Mena,CL$,Construcción de Carreteras y Líneas de Ferrocarril,0,Chile,,,,Externo,FALTAN %,Mayoritario,Moller & Pérez Cotápos (Externo)
76.135.841-3,Consorcio Salfa-Desco Limitada,1157,,,,Asociaciones ICSA,SI,Interna,N/A,CL$,Construccion y Reposicion de Muelles y Obras Marítimas,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,,,,88213400-8,51,Mayoritario,Empresa Constructora Desco S.A. 
76.135.841-3,Consorcio Salfa-Desco Limitada,1157,,,,Asociaciones ICSA,SI,Interna,Guillermo Salinas Errázuriz,CL$,Construccion y Reposicion de Muelles y Obras Marítimas,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,,,,93.659.000-4,49,Minoritario,Constructora Salfa S.A.
76.141.360-0,Belfi Incolur Fe Grande Ltda.,1194,,,,Asociaciones ICSA,SI,Interna,Rafael Valdes Gonzalez,CL$,"Constructora, Extrac. Piedra, Arena y Arcilla","Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,10-08-2004,,,79730880-3,"33,33",Minoritario,Ingeniería y Construcciones Incolur S.A. (Externo)
76.141.360-0,Belfi Incolur Fe Grande Ltda.,1194,,,,Asociaciones ICSA,SI,Interna,Rafael Valdes Gonzalez,CL$,"Constructora, Extrac. Piedra, Arena y Arcilla","Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,10-08-2004,,,83.109.000-6,"33,34",Mayoritario,Empresa Constructora Fe Grande S.A.
76.141.360-0,Belfi Incolur Fe Grande Ltda.,1194,,,,Asociaciones ICSA,SI,Interna,Rafael Valdes Gonzalez,CL$,"Constructora, Extrac. Piedra, Arena y Arcilla","Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,10-08-2004,,,92562000-9,"33,33",Minoritario,Empresa Constructora Belfi S.A.
76.146.141-9,Inmobiliaria y Constructora Pastrana S.A.,1283,,,,Asociaciones Aconcagua,SI,Interna,Matías Stamm Moreno,CL$,Inv Arri D/Inm Comp y Alq.D/Inm.Amobl y Sin Amob.Construc D/Edif Comp,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,27-04-2011,N/A ,N/A ,76.173.057-6,50,Mayoritario,Inmobiliaria Vertical S.A.
76.146.141-9,Inmobiliaria y Constructora Pastrana S.A.,1283,,,,Asociaciones Aconcagua,SI,Interna,Juan Manuel Irarrázaval Mena,CL$,Inv Arri D/Inm Comp y Alq.D/Inm.Amobl y Sin Amob.Construc D/Edif Comp,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,27-04-2011,N/A ,N/A ,Externo,"16,66666",,Soc. de Inv. Don Silvestre SpA (Externo)
76.146.141-9,Inmobiliaria y Constructora Pastrana S.A.,1283,,,,Asociaciones Aconcagua,SI,Interna,Juan Manuel Irarrázaval Mena,CL$,Inv Arri D/Inm Comp y Alq.D/Inm.Amobl y Sin Amob.Construc D/Edif Comp,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,27-04-2011,N/A ,N/A ,Externo,"16,66666",,Soc. Agrícola y de Inversiones Cuatro Robles Ltda. (Externo)
76.146.141-9,Inmobiliaria y Constructora Pastrana S.A.,1283,,,,Asociaciones Aconcagua,SI,Interna,Juan Manuel Irarrázaval Mena,CL$,Inv Arri D/Inm Comp y Alq.D/Inm.Amobl y Sin Amob.Construc D/Edif Comp,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,27-04-2011,N/A ,N/A ,Externo,"16,66666",Minoritario,Soc. de Inv. Inside SpA (Externo)
76.150.398-7,Salfa Materiales de Construcción S.A.,1207,,,,ICSA,SI,Interna,Rodrigo Hubner Grasso,CL$,Gest. Adm. de Obras de Constrcc. y Montajes Inv. Mob. e Inmb,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,20-05-2011,,,76.730.450-1,1,Minoritario,Salfa Gestión Ingeniería S.A.
76.150.398-7,Salfa Materiales de Construcción S.A.,1207,,,,ICSA,SI,Interna,Edilio Dagnino Macari,CL$,Gest. Adm. de Obras de Constrcc. y Montajes Inv. Mob. e Inmb,"Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,20-05-2011,,,96.684.600-3,99,Mayoritario,Empresa de Montajes Industriales Salfa Sociedad Anónima
76.153.005-4,Administradora de Fondos de Inversión San Rafael S.A.,1208,,,,Rentas y Desarrollo Inmobiliario,NO,Interna,N/A,CL$,"Adm. de Fondos de Inv. Privados, por Cuenta y Cargo de los Aportadore","Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,18-04-2011,N/A ,N/A ,96.951.850-3,"99,9",Mayoritario,Rentas y Desarrollo Aconcagua S.A.
76.153.005-4,Administradora de Fondos de Inversión San Rafael S.A.,1208,,,,Rentas y Desarrollo Inmobiliario,NO,Interna,Matías Stamm Moreno,CL$,"Adm. de Fondos de Inv. Privados, por Cuenta y Cargo de los Aportadore","Av. Presidente Riesco 5335, Piso 11, Las Condes, Santiago",Chile,18-04-2011,N/A ,N/A ,96.973.290-4,"0,1",Minoritario,Inmobiliaria Aconcagua S.A.
76.154.206-6,Inmobiliaria y Constructora Goycolea S.A.,1336,,,,Asociaciones Aconcagua,SI,Revisar,Matías Stamm Moreno,CL$,0,0,Chile,,N/A ,N/A ,76.173.057-6,25,Minoritario,Inmobiliaria Vertical S.A.
76.154.206-6,Inmobiliaria y Constructora Goycolea S.A.,1336,,,,Asociaciones Aconcagua,SI,Revisar,Juan Manuel Irarrázaval Mena,CL$,0,0,Chile,,N/A ,N/A ,Externo,75,Mayoritario,(Externo)
